target,target_name,model,test_roc_auc,test_pr_auc,test_f1,test_precision,test_recall,test_specificity,test_balanced_accuracy,brier_score_raw,brier_score_calibrated,ece_raw,ece_calibrated,optimal_threshold,confusion_matrix
target_iron_deficiency,Iron Deficiency,Logistic Regression,0.6301868239921338,0.5426065283339909,0.5842696629213483,0.4279835390946502,0.9203539823008849,0.22777777777777777,0.5740658800393313,0.23212224895811193,0.22918511340819697,0.11117801354132192,0.048895971570319385,0.33074361900679855,"{'tn': 41, 'fp': 139, 'fn': 9, 'tp': 104}"
target_iron_deficiency,Iron Deficiency,Random Forest,0.617748279252704,0.4611742429763024,0.5353159851301115,0.46153846153846156,0.6371681415929203,0.5333333333333333,0.5852507374631268,0.2341513456886091,0.23108908801434286,0.0765203579179012,0.01542515759117168,0.44602752075669044,"{'tn': 96, 'fp': 84, 'fn': 41, 'tp': 72}"
target_iron_deficiency,Iron Deficiency,XGBoost,0.6112094395280236,0.45414386329593587,0.5384615384615384,0.44508670520231214,0.6814159292035398,0.4666666666666667,0.5740412979351033,0.23513096570968628,0.23112337291240692,0.06755217660612622,0.017648287804053503,0.3993183374404907,"{'tn': 84, 'fp': 96, 'fn': 36, 'tp': 77}"
target_iron_deficiency,Iron Deficiency,LightGBM,0.6002458210422812,0.4697878501509555,0.5838509316770186,0.44976076555023925,0.831858407079646,0.3611111111111111,0.5964847590953786,0.2322018559266862,0.23203907576895225,0.05084927017599125,0.02627042818034262,0.3731040776421863,"{'tn': 65, 'fp': 115, 'fn': 19, 'tp': 94}"
target_iron_deficiency_anemia,Iron Deficiency Anemia,Logistic Regression,0.6181736392262709,0.23893256910360977,0.2882882882882883,0.24242424242424243,0.35555555555555557,0.7975708502024291,0.5765632028789923,0.21099029816317535,0.1260114820729208,0.24814471051424727,0.030143562390795988,0.5482038383095986,"{'tn': 197, 'fp': 50, 'fn': 29, 'tp': 16}"
target_iron_deficiency_anemia,Iron Deficiency Anemia,Random Forest,0.646063877642825,0.23998201060493543,0.3246753246753247,0.22935779816513763,0.5555555555555556,0.659919028340081,0.6077372919478183,0.17528984357229432,0.12766689617284205,0.20734431149090285,0.015235957327967266,0.40248671185837037,"{'tn': 163, 'fp': 84, 'fn': 20, 'tp': 25}"
target_iron_deficiency_anemia,Iron Deficiency Anemia,XGBoost,0.6495726495726496,0.23675569630443777,0.32195121951219513,0.20625,0.7333333333333333,0.48582995951417,0.6095816464237517,0.19505926966667175,0.12794362008571625,0.2609686433044199,0.010119942871675097,0.39379438757896423,"{'tn': 120, 'fp': 127, 'fn': 12, 'tp': 33}"
target_iron_deficiency_anemia,Iron Deficiency Anemia,LightGBM,0.6127755285650022,0.24814900155653385,0.25,0.2558139534883721,0.24444444444444444,0.8704453441295547,0.5574448942869995,0.12907415774235673,0.12989783327272134,0.04481190117178399,0.00038630613142284775,0.23844548665517631,"{'tn': 215, 'fp': 32, 'fn': 34, 'tp': 11}"
target_vitamin_d_deficiency,Vitamin D Deficiency,Logistic Regression,0.810232484891435,0.4916096891874314,0.5418439716312057,0.4072494669509595,0.809322033898305,0.6771196283391405,0.7432208311187227,0.185276875308878,0.13546943915642204,0.19989666680131707,0.03457765328724928,0.5117949429259375,"{'tn': 583, 'fp': 278, 'fn': 45, 'tp': 191}"
target_vitamin_d_deficiency,Vitamin D Deficiency,Random Forest,0.8240910254138861,0.5280895732986123,0.5504273504273505,0.46131805157593125,0.6822033898305084,0.7816492450638792,0.7319263174471938,0.17324847083115766,0.1335371101874625,0.1806012668741339,0.048234618149806625,0.5657677790872809,"{'tn': 673, 'fp': 188, 'fn': 75, 'tp': 161}"
target_vitamin_d_deficiency,Vitamin D Deficiency,XGBoost,0.8262195121951219,0.5331344180549662,0.5570934256055363,0.47076023391812866,0.6822033898305084,0.7897793263646922,0.7359913580976003,0.16926223039627075,0.1305224448442459,0.18659024042439876,0.03421538372404378,0.5577125549316406,"{'tn': 680, 'fp': 181, 'fn': 75, 'tp': 161}"
target_vitamin_d_deficiency,Vitamin D Deficiency,LightGBM,0.8191352191972282,0.5374943243710412,0.5487256371814093,0.4245939675174014,0.7754237288135594,0.7119628339140535,0.7436932813638064,0.14594710649062453,0.13475522539832005,0.11633654422787992,0.05045631559612087,0.3665210122466213,"{'tn': 613, 'fp': 248, 'fn': 53, 'tp': 183}"
target_vitamin_d_insufficiency,Vitamin D Insufficiency,Logistic Regression,0.799676736373169,0.7891585143898959,0.7721423164269493,0.6938775510204082,0.8703071672354948,0.5596868884540117,0.7149970278447533,0.18118232728646194,0.18139700647979143,0.03808615906062486,0.03684735431518247,0.40487976666962067,"{'tn': 286, 'fp': 225, 'fn': 76, 'tp': 510}"
target_vitamin_d_insufficiency,Vitamin D Insufficiency,Random Forest,0.8042551912531809,0.8075723955911746,0.778021978021978,0.6816431322207959,0.9061433447098977,0.5146771037181996,0.7104102242140486,0.18102830609509474,0.17964273107689635,0.054422650018376005,0.047457659983581174,0.4106578174216749,"{'tn': 263, 'fp': 248, 'fn': 55, 'tp': 531}"
target_vitamin_d_insufficiency,Vitamin D Insufficiency,XGBoost,0.8158632942166536,0.8213824697748527,0.7869339272457313,0.6964520367936925,0.9044368600682594,0.547945205479452,0.7261910327738557,0.17382551729679108,0.17429964244365692,0.038205781488007816,0.03834741783337694,0.3825010657310486,"{'tn': 280, 'fp': 231, 'fn': 56, 'tp': 530}"
target_vitamin_d_insufficiency,Vitamin D Insufficiency,LightGBM,0.8129946634785572,0.8226529360623351,0.7809110629067245,0.6775407779171895,0.9215017064846417,0.49706457925636005,0.7092831428705009,0.17496248773149353,0.1760169340016445,0.03200718836691179,0.040610310550745495,0.33808195911062644,"{'tn': 254, 'fp': 257, 'fn': 46, 'tp': 540}"
target_folate_deficiency,Folate Deficiency,Logistic Regression,0.6731496364332186,0.1993870893199147,0.2621184919210054,0.17096018735362997,0.5615384615384615,0.6477611940298508,0.6046498277841561,0.20894700144044437,0.09780023096624534,0.296484401101524,0.01106404382804079,0.5068184742288078,"{'tn': 651, 'fp': 354, 'fn': 57, 'tp': 73}"
target_folate_deficiency,Folate Deficiency,Random Forest,0.7122617680826635,0.2331411026128803,0.285140562248996,0.19293478260869565,0.5461538461538461,0.7044776119402985,0.6253157290470723,0.17669668863527446,0.09600001323965011,0.26145216249817266,0.020321924723559686,0.4916394395608094,"{'tn': 708, 'fp': 297, 'fn': 59, 'tp': 71}"
target_folate_deficiency,Folate Deficiency,XGBoost,0.7030080367393801,0.2088552172139195,0.2745762711864407,0.17608695652173914,0.6230769230769231,0.6228855721393035,0.6229812476081134,0.15490633249282837,0.09682916849851608,0.20458145490170576,0.022413847080148784,0.3769359886646271,"{'tn': 626, 'fp': 379, 'fn': 49, 'tp': 81}"
target_folate_deficiency,Folate Deficiency,LightGBM,0.6911978568694988,0.2129685603237514,0.2602040816326531,0.1559633027522936,0.7846153846153846,0.4507462686567164,0.6176808266360505,0.09919811196044967,0.10095590010747495,0.028974153091145472,0.001014164447802307,0.1391034212076436,"{'tn': 453, 'fp': 552, 'fn': 28, 'tp': 102}"
target_magnesium_deficiency,Magnesium Deficiency,Logistic Regression,0.72932501266768,0.20996697374001844,0.28402366863905326,0.19123505976095617,0.5517241379310345,0.7645011600928074,0.6581126490119209,0.2038938433205935,0.07868495855492508,0.32778068593049475,0.016592403143037126,0.5671189403891892,"{'tn': 659, 'fp': 203, 'fn': 39, 'tp': 48}"
target_magnesium_deficiency,Magnesium Deficiency,Random Forest,0.6903218924180601,0.1713918121812417,0.23504273504273504,0.14435695538057744,0.632183908045977,0.6218097447795824,0.6269968264127797,0.1542481073827427,0.08141478962201232,0.2632264251056756,0.030358482718208717,0.3782560474793296,"{'tn': 536, 'fp': 326, 'fn': 32, 'tp': 55}"
target_magnesium_deficiency,Magnesium Deficiency,XGBoost,0.6557057897965171,0.16646931544525637,0.22869955156950672,0.14206128133704735,0.5862068965517241,0.642691415313225,0.6144491559324745,0.16849784553050995,0.08160729706287384,0.27995785295146786,0.02052354011822049,0.3990107774734497,"{'tn': 554, 'fp': 308, 'fn': 36, 'tp': 51}"
target_magnesium_deficiency,Magnesium Deficiency,LightGBM,0.6109755447102435,0.1315739011307623,0.1991869918699187,0.12098765432098765,0.5632183908045977,0.5870069605568445,0.5751126756807211,0.08290528334528371,0.08325345558311328,0.018757275297634723,3.9957593310907535e-06,0.11610569025917454,"{'tn': 506, 'fp': 356, 'fn': 38, 'tp': 49}"
target_selenium_deficiency,Selenium Deficiency,Logistic Regression,0.7707006369426751,0.13065788083613114,0.18518518518518517,0.12195121951219512,0.38461538461538464,0.9017288444040037,0.6431721145096941,0.17953705618963345,0.03194356451082662,0.3185523587992135,0.0028472617737143593,0.725269451532388,"{'tn': 991, 'fp': 108, 'fn': 24, 'tp': 15}"
target_selenium_deficiency,Selenium Deficiency,Random Forest,0.7207484659713959,0.06970331061889867,0.1206896551724138,0.09090909090909091,0.1794871794871795,0.9363057324840764,0.557896455985628,0.0947933023908733,0.03277196173706759,0.21592954712491125,0.0030835426970594157,0.4893687678818781,"{'tn': 1029, 'fp': 70, 'fn': 32, 'tp': 7}"
target_selenium_deficiency,Selenium Deficiency,XGBoost,0.7130024964419869,0.08929958928661987,0.18666666666666668,0.19444444444444445,0.1794871794871795,0.9736123748862603,0.5765497771867198,0.10938718914985657,0.0324624702334404,0.24528484853059837,0.0013856722569004704,0.6743795871734619,"{'tn': 1070, 'fp': 29, 'fn': 32, 'tp': 7}"
target_selenium_deficiency,Selenium Deficiency,LightGBM,0.6371526562609364,0.06260492213433937,0.06557377049180328,0.09090909090909091,0.05128205128205128,0.9818016378525932,0.5165418445673222,0.03323594377907281,0.033077343922472274,0.019846372713069823,0.000887361962215831,0.12286847115951306,"{'tn': 1079, 'fp': 20, 'fn': 37, 'tp': 2}"
target_potassium_deficiency,Potassium Deficiency,Logistic Regression,0.6378477957057553,0.05338612417229518,0.07111111111111111,0.038461538461538464,0.47058823529411764,0.7840172786177105,0.6273027569559141,0.18303943712428422,0.017699218029135506,0.3221636169531284,4.7718108671285925e-05,0.568299774010504,"{'tn': 726, 'fp': 200, 'fn': 9, 'tp': 8}"
target_potassium_deficiency,Potassium Deficiency,Random Forest,0.7383432854783382,0.06121226307939005,0.06190476190476191,0.03225806451612903,0.7647058823529411,0.5788336933045356,0.6717697878287383,0.09124878971774825,0.01762869534357812,0.2400708916286756,1.4731819435322147e-05,0.27395769337775766,"{'tn': 536, 'fp': 390, 'fn': 4, 'tp': 13}"
target_potassium_deficiency,Potassium Deficiency,XGBoost,0.6975606657349764,0.06903136010539954,0.0,0.0,0.0,0.9967602591792657,0.49838012958963285,0.19236129522323608,0.017680151388049126,0.4144985794641812,1.721232260398775e-05,0.5841242074966431,"{'tn': 923, 'fp': 3, 'fn': 17, 'tp': 0}"
target_potassium_deficiency,Potassium Deficiency,LightGBM,0.7175390674628382,0.04524983298824533,0.09803921568627451,0.058823529411764705,0.29411764705882354,0.9136069114470843,0.6038622792529539,0.020143435049030486,0.017690395707426632,0.038048046969511154,1.6893727222376531e-06,0.15171259284794433,"{'tn': 846, 'fp': 80, 'fn': 12, 'tp': 5}"
target_calcium_deficiency,Calcium Deficiency,Logistic Regression,0.6267329716696806,0.014666097872940875,0.0,0.0,0.0,0.9683544303797469,0.48417721518987344,0.12120746019893873,0.007273953129805231,0.20069858468434487,3.700010703066702e-05,0.9,"{'tn': 918, 'fp': 30, 'fn': 7, 'tp': 0}"
target_calcium_deficiency,Calcium Deficiency,Random Forest,0.6773658830620856,0.017085731745717817,0.03314917127071823,0.017241379310344827,0.42857142857142855,0.819620253164557,0.6240958408679927,0.040203697528040976,0.007277092842178298,0.1325694915330151,5.300772940773635e-05,0.2177248824327834,"{'tn': 777, 'fp': 171, 'fn': 4, 'tp': 3}"
target_calcium_deficiency,Calcium Deficiency,XGBoost,0.7594936708860759,0.03658671076549321,0.0,0.0,0.0,0.9957805907172996,0.4978902953586498,0.13833776116371155,0.007275574374943972,0.35859162167728886,7.038975075979517e-05,0.5953545570373535,"{'tn': 944, 'fp': 4, 'fn': 7, 'tp': 0}"
target_calcium_deficiency,Calcium Deficiency,LightGBM,0.7386980108499096,0.018119128910431492,0.0,0.0,0.0,0.9989451476793249,0.4994725738396624,0.008956480057268484,0.007276158308828634,0.007744568575266697,9.01728296160715e-05,0.341407151640799,"{'tn': 947, 'fp': 1, 'fn': 7, 'tp': 0}"
