target,target_name,model_name,train_roc_auc,val_roc_auc,test_roc_auc,overfit_gap,test_pr_auc,test_f1,test_recall,test_precision,test_specificity,test_balanced_accuracy,brier_score_raw,brier_score_calibrated,ece_raw,ece_calibrated,optimal_threshold,confusion_matrix
target_iron_deficiency,Iron Deficiency,XGBoost,0.9714842330061796,0.6050639134709931,0.6112094395280236,0.36027479347815594,0.45414386329593587,0.5384615384615384,0.6814159292035398,0.44508670520231214,0.4666666666666667,0.5740412979351033,0.23513096570968628,0.23112337291240692,0.06755217660612622,0.017648287804053503,0.3993183374404907,"{'tn': 84, 'fp': 96, 'fn': 36, 'tp': 77}"
target_iron_deficiency,Iron Deficiency,LightGBM,0.8824881861141404,0.646361848574238,0.6002458210422812,0.2822423650718592,0.4697878501509555,0.5838509316770186,0.831858407079646,0.44976076555023925,0.3611111111111111,0.5964847590953786,0.2322018559266862,0.23203907576895225,0.05084927017599125,0.02627042818034262,0.3731040776421863,"{'tn': 65, 'fp': 115, 'fn': 19, 'tp': 94}"
target_iron_deficiency,Iron Deficiency,Random Forest,0.9738640494365686,0.6280727630285153,0.617748279252704,0.35611577018386453,0.4611742429763024,0.5353159851301115,0.6371681415929203,0.46153846153846156,0.5333333333333333,0.5852507374631268,0.2341513456886091,0.2310890880143429,0.0765203579179012,0.01542515759117168,0.4460275207566905,"{'tn': 96, 'fp': 84, 'fn': 41, 'tp': 72}"
target_iron_deficiency,Iron Deficiency,Logistic Regression,0.6985743820428935,0.5693215339233039,0.6301868239921338,0.06838755805075969,0.5426065283339909,0.5842696629213483,0.9203539823008849,0.4279835390946502,0.22777777777777777,0.5740658800393313,0.23212224895811193,0.22918511340819697,0.11117801354132192,0.048895971570319385,0.33074361900679855,"{'tn': 41, 'fp': 139, 'fn': 9, 'tp': 104}"
target_iron_deficiency_anemia,Iron Deficiency Anemia,XGBoost,0.946940256187871,0.6694107062528115,0.6495726495726496,0.29736760661522144,0.23675569630443777,0.32195121951219513,0.7333333333333333,0.20625,0.48582995951417,0.6095816464237517,0.19505926966667175,0.12794362008571625,0.2609686433044199,0.010119942871675097,0.39379438757896423,"{'tn': 120, 'fp': 127, 'fn': 12, 'tp': 33}"
target_iron_deficiency_anemia,Iron Deficiency Anemia,LightGBM,0.8931320468343452,0.6376518218623481,0.6127755285650022,0.28035651826934305,0.24814900155653385,0.25,0.24444444444444444,0.2558139534883721,0.8704453441295547,0.5574448942869995,0.12907415774235673,0.12989783327272134,0.04481190117178399,0.00038630613142284775,0.23844548665517631,"{'tn': 215, 'fp': 32, 'fn': 34, 'tp': 11}"
target_iron_deficiency_anemia,Iron Deficiency Anemia,Random Forest,0.9854643405163788,0.6465137201979307,0.646063877642825,0.33940046287355374,0.23998201060493543,0.3246753246753247,0.5555555555555556,0.22935779816513763,0.659919028340081,0.6077372919478183,0.17528984357229432,0.12766689617284205,0.20734431149090285,0.015235957327967243,0.40248671185837037,"{'tn': 163, 'fp': 84, 'fn': 20, 'tp': 25}"
target_iron_deficiency_anemia,Iron Deficiency Anemia,Logistic Regression,0.7988233037560878,0.6822312190733243,0.6181736392262709,0.1806496645298169,0.23893256910360977,0.2882882882882883,0.35555555555555557,0.24242424242424243,0.7975708502024291,0.5765632028789923,0.21099029816317535,0.1260114820729208,0.24814471051424727,0.030143562390795988,0.5482038383095986,"{'tn': 197, 'fp': 50, 'fn': 29, 'tp': 16}"
target_vitamin_d_deficiency,Vitamin D Deficiency,XGBoost,0.9043303405621105,0.7896531336223888,0.8262195121951219,0.07811082836698857,0.5331344180549662,0.5570934256055363,0.6822033898305084,0.47076023391812866,0.7897793263646922,0.7359913580976003,0.16926223039627075,0.1305224448442459,0.18659024042439876,0.03421538372404378,0.5577125549316406,"{'tn': 680, 'fp': 181, 'fn': 75, 'tp': 161}"
target_vitamin_d_deficiency,Vitamin D Deficiency,LightGBM,0.8793458046091348,0.790190185258179,0.8191352191972282,0.0602105854119066,0.5374943243710412,0.5487256371814093,0.7754237288135594,0.4245939675174014,0.7119628339140535,0.7436932813638064,0.14594710649062453,0.13475522539832005,0.11633654422787992,0.05045631559612087,0.3665210122466213,"{'tn': 613, 'fp': 248, 'fn': 53, 'tp': 183}"
