target,target_name,model_name,role,optimal_threshold,test_roc_auc,test_pr_auc,test_brier_score,test_precision_opt,test_recall_opt,test_f1_opt,test_f2_opt,test_specificity,test_precision_default_05,test_recall_default_05,test_f1_default_05,confusion_matrix,calibration
target_iron_deficiency,Iron Deficiency,LightGBM,Champion,0.3731040776421863,0.6002458210422812,0.4697878501509555,0.2322018559266862,0.44976076555023925,0.831858407079646,0.5838509316770186,0.7110438729198184,0.3611111111111111,0.45588235294117646,0.2743362831858407,0.3425414364640884,"{'tn': 65, 'fp': 115, 'fn': 19, 'tp': 94}","{'prob_true': [0.0, 0.27102803738317754, 0.45054945054945056, 1.0], 'prob_pred': [0.18175484181539084, 0.33251929656193663, 0.48577844706236184, 0.6093452469678469]}"
target_iron_deficiency,Iron Deficiency,XGBoost,Challenger,0.3993183374404907,0.6112094395280236,0.45414386329593587,0.23513096570968628,0.44508670520231214,0.6814159292035398,0.5384615384615384,0.616,0.4666666666666667,0.47368421052631576,0.39823008849557523,0.4326923076923077,"{'tn': 84, 'fp': 96, 'fn': 36, 'tp': 77}","{'prob_true': [0.15384615384615385, 0.3177570093457944, 0.4338235294117647, 0.4864864864864865], 'prob_pred': [0.15722347280153862, 0.30987620061246035, 0.4964250567204812, 0.664714239739083]}"
target_iron_deficiency,Iron Deficiency,CatBoost,Challenger,0.43915784166057154,0.5981809242871189,0.4813285473384191,0.2349447464196597,0.45977011494252873,0.7079646017699115,0.5574912891986062,0.6389776357827476,0.4777777777777778,0.4473684210526316,0.45132743362831856,0.44933920704845814,"{'tn': 86, 'fp': 94, 'fn': 33, 'tp': 80}","{'prob_true': [0.0, 0.28735632183908044, 0.4578313253012048, 0.35294117647058826], 'prob_pred': [0.16598597009729343, 0.3239001234887995, 0.4991846966562526, 0.6337665671741763]}"
target_iron_deficiency,Iron Deficiency,ElasticNet_LogisticRegression,Baseline,0.33074361900679855,0.6301868239921338,0.5426065283339909,0.23212224895811193,0.4279835390946502,0.9203539823008849,0.5842696629213483,0.7482014388489209,0.22777777777777777,0.45751633986928103,0.6194690265486725,0.5263157894736842,"{'tn': 41, 'fp': 139, 'fn': 9, 'tp': 104}","{'prob_true': [0.1111111111111111, 0.31666666666666665, 0.37888198757763975, 0.5490196078431373, 1.0], 'prob_pred': [0.1507465595897577, 0.3177915862849751, 0.5167756317785327, 0.6548864199635719, 0.8382236452195312]}"
target_iron_deficiency_anemia,Iron Deficiency Anemia (IDA),LightGBM,Champion,0.23844548665517631,0.6127755285650022,0.24814900155653385,0.12907415774235673,0.2558139534883721,0.24444444444444444,0.25,0.24663677130044842,0.8704453441295547,0.0,0.0,0.0,"{'tn': 215, 'fp': 32, 'fn': 34, 'tp': 11}","{'prob_true': [0.12101910828025478, 0.1925925925925926], 'prob_pred': [0.1664296463329575, 0.2309511390514699]}"
target_iron_deficiency_anemia,Iron Deficiency Anemia (IDA),XGBoost,Challenger,0.39379438757896423,0.6495726495726496,0.23675569630443777,0.19505926966667175,0.20625,0.7333333333333333,0.32195121951219513,0.4852941176470588,0.48582995951417,0.288135593220339,0.37777777777777777,0.3269230769230769,"{'tn': 120, 'fp': 127, 'fn': 12, 'tp': 33}","{'prob_true': [0.0948905109489051, 0.1958041958041958, 0.3333333333333333], 'prob_pred': [0.3285940785477631, 0.47882341463249045, 0.6428089539210001]}"
target_iron_deficiency_anemia,Iron Deficiency Anemia (IDA),CatBoost,Challenger,0.4493098945561736,0.6412055780476833,0.2767951158396908,0.20129190678396622,0.20353982300884957,0.5111111111111111,0.2911392405063291,0.3924914675767918,0.6356275303643725,0.2564102564102564,0.4444444444444444,0.3252032520325203,"{'tn': 157, 'fp': 90, 'fn': 22, 'tp': 23}","{'prob_true': [0.0, 0.09401709401709402, 0.20168067226890757, 0.2631578947368421], 'prob_pred': [0.16460301776827982, 0.32403769650441694, 0.48071816845949566, 0.6506845287876564]}"
target_iron_deficiency_anemia,Iron Deficiency Anemia (IDA),ElasticNet_LogisticRegression,Baseline,0.5482038383095986,0.6181736392262709,0.23893256910360977,0.21099029816317535,0.24242424242424243,0.35555555555555557,0.2882882882882883,0.3252032520325203,0.7975708502024291,0.23255813953488372,0.4444444444444444,0.3053435114503817,"{'tn': 197, 'fp': 50, 'fn': 29, 'tp': 16}","{'prob_true': [0.0196078431372549, 0.17475728155339806, 0.15730337078651685, 0.13793103448275862, 0.4], 'prob_pred': [0.09550720966208034, 0.3072727046785228, 0.49399247174622, 0.6767841851852124, 0.8673113919860777]}"
target_vitamin_d_deficiency,Vitamin D Deficiency,LightGBM,Champion,0.3665210122466213,0.8191352191972282,0.5374943243710412,0.14594710649062453,0.4245939675174014,0.7754237288135594,0.5487256371814093,0.6654545454545454,0.7119628339140535,0.6666666666666666,0.2457627118644068,0.3591331269349845,"{'tn': 613, 'fp': 248, 'fn': 53, 'tp': 183}","{'prob_true': [0.024615384615384615, 0.15914489311163896, 0.4586894586894587], 'prob_pred': [0.13003825781162706, 0.31793187759003655, 0.4683075303691594]}"
target_vitamin_d_deficiency,Vitamin D Deficiency,XGBoost,Challenger,0.5577125549316406,0.8262195121951219,0.5331344180549662,0.16926223039627075,0.47076023391812866,0.6822033898305084,0.5570934256055363,0.6259720062208398,0.7897793263646922,0.4341801385681293,0.7966101694915254,0.5620328849028401,"{'tn': 680, 'fp': 181, 'fn': 75, 'tp': 161}","{'prob_true': [0.018292682926829267, 0.09644670050761421, 0.2508361204013378, 0.4692982456140351, 0.6444444444444445], 'prob_pred': [0.1090433411754486, 0.312724724336324, 0.5050046064183864, 0.6813077866508249, 0.8218213399251302]}"
target_vitamin_d_deficiency,Vitamin D Deficiency,CatBoost,Challenger,0.515619033222368,0.8265910746274532,0.540030005596742,0.17459704720623673,0.4192139737991266,0.8135593220338984,0.553314121037464,0.6847360912981455,0.6910569105691057,0.41014799154334036,0.8220338983050848,0.5472496473906912,"{'tn': 595, 'fp': 266, 'fn': 44, 'tp': 192}","{'prob_true': [0.015015015015015015, 0.0875, 0.22535211267605634, 0.4517241379310345, 0.7333333333333333], 'prob_pred': [0.08770916967451146, 0.3133783241874279, 0.5077236557793832, 0.6870691129468396, 0.8307100098551674]}"
target_vitamin_d_deficiency,Vitamin D Deficiency,ElasticNet_LogisticRegression,Baseline,0.5117949429259375,0.810232484891435,0.4916096891874314,0.185276875308878,0.4072494669509595,0.809322033898305,0.5418439716312057,0.6758669497523001,0.6771196283391405,0.3991683991683992,0.8135593220338984,0.5355648535564853,"{'tn': 583, 'fp': 278, 'fn': 45, 'tp': 191}","{'prob_true': [0.012738853503184714, 0.08287292817679558, 0.24812030075187969, 0.40077821011673154, 0.6075949367088608], 'prob_pred': [0.058072391623831245, 0.3058922255518609, 0.5071939064925014, 0.6966685180040545, 0.8573168535724977]}"
