target,target_name,prevalence_pct,champion_model,test_roc_auc,test_pr_auc,test_f1,test_recall,test_precision,test_f2,test_brier,optimal_threshold
target_vitamin_d_insufficiency,Vitamin D Insufficiency,53.37347748734091,LightGBM,0.8129946634785572,0.8226529360623351,0.7809110629067245,0.9215017064846417,0.6775407779171895,0.8595988538681948,0.17496248773149353,0.33808195911062644
target_vitamin_d_deficiency,Vitamin D Deficiency,21.527302586560833,LightGBM,0.8191352191972282,0.5374943243710412,0.5487256371814093,0.7754237288135594,0.4245939675174014,0.6654545454545454,0.14594710649062453,0.3665210122466213
target_iron_deficiency,Iron Deficiency,38.46153846153847,CatBoost,0.5981809242871189,0.4813285473384191,0.5574912891986062,0.7079646017699115,0.45977011494252873,0.6389776357827476,0.2349447464196597,0.43915784166057154
target_iron_deficiency_anemia,Iron Deficiency Anemia (IDA),15.32133676092545,CatBoost,0.6412055780476833,0.2767951158396908,0.2911392405063291,0.5111111111111111,0.20353982300884957,0.3924914675767918,0.20129190678396622,0.4493098945561736
target_folate_deficiency,Folate Deficiency,11.41081581383049,LightGBM,0.6911978568694988,0.2129685603237514,0.2602040816326531,0.7846153846153846,0.1559633027522936,0.434412265758092,0.09919811196044967,0.1391034212076436
target_magnesium_deficiency,Magnesium Deficiency,9.20303605313093,CatBoost,0.6798277195508974,0.17274597336160652,0.22608695652173913,0.4482758620689655,0.1511627906976744,0.3217821782178218,0.19689727263959708,0.5091299097433324
target_selenium_deficiency,Selenium Deficiency,3.387819667809122,XGBoost,0.7130024964419869,0.08929958928661987,0.18666666666666668,0.1794871794871795,0.19444444444444445,0.18229166666666666,0.10938718914985657,0.6743795871734619
target_potassium_deficiency,Potassium Deficiency,1.8309186435281006,XGBoost,0.6975606657349764,0.06903136010539954,0.0,0.0,0.0,0.0,0.19236129522323608,0.5841242074966431
target_calcium_deficiency,Calcium Deficiency,0.7230430682175416,XGBoost,0.7594936708860759,0.03658671076549321,0.0,0.0,0.0,0.0,0.13833776116371155,0.5953545570373535
