target,target_name,prevalence_pct,best_model,test_roc_auc,test_pr_auc,test_f1,test_recall,test_precision,test_specificity,test_balanced_accuracy,brier_calibrated,ece_calibrated,optimal_threshold,overfit_gap
target_vitamin_d_insufficiency,Vitamin D Insufficiency,53.37347748734091,XGBoost,0.8158632942166536,0.8213824697748527,0.7869339272457313,0.9044368600682594,0.6964520367936925,0.547945205479452,0.7261910327738557,0.17429964244365692,0.03834741783337694,0.3825010657310486,0.10331460171131313
target_iron_deficiency,Iron Deficiency,38.46153846153847,Logistic Regression,0.6301868239921338,0.5426065283339909,0.5842696629213483,0.9203539823008849,0.4279835390946502,0.22777777777777777,0.5740658800393313,0.22918511340819697,0.048895971570319385,0.33074361900679855,0.06838755805075969
target_vitamin_d_deficiency,Vitamin D Deficiency,21.527302586560833,XGBoost,0.8262195121951219,0.5331344180549662,0.5570934256055363,0.6822033898305084,0.47076023391812866,0.7897793263646922,0.7359913580976003,0.1305224448442459,0.03421538372404378,0.5577125549316406,0.07811082836698857
target_iron_deficiency_anemia,Iron Deficiency Anemia,15.32133676092545,Random Forest,0.646063877642825,0.23998201060493543,0.3246753246753247,0.5555555555555556,0.22935779816513763,0.659919028340081,0.6077372919478183,0.12766689617284205,0.015235957327967243,0.40248671185837037,0.33940046287355374
target_folate_deficiency,Folate Deficiency,11.41081581383049,Random Forest,0.7122617680826635,0.2331411026128803,0.285140562248996,0.5461538461538461,0.19293478260869565,0.7044776119402985,0.6253157290470723,0.09600001323965011,0.02032192472355969,0.4916394395608094,0.2511819828971553
target_magnesium_deficiency,Magnesium Deficiency,9.20303605313093,Logistic Regression,0.72932501266768,0.20996697374001844,0.28402366863905326,0.5517241379310345,0.19123505976095617,0.7645011600928074,0.6581126490119209,0.07868495855492508,0.016592403143037126,0.5671189403891892,0.0344042595290035
target_selenium_deficiency,Selenium Deficiency,3.387819667809122,Logistic Regression,0.7707006369426751,0.13065788083613114,0.18518518518518517,0.38461538461538464,0.12195121951219512,0.9017288444040037,0.6431721145096941,0.03194356451081073,0.002847261774850002,0.725269451532388,0.06477586294902937
target_potassium_deficiency,Potassium Deficiency,1.8309186435281006,Random Forest,0.7383432854783382,0.06121226307939005,0.06190476190476191,0.7647058823529411,0.03225806451612903,0.5788336933045356,0.6717697878287383,0.01762869534357812,1.4731819435322147e-05,0.27395769337775766,0.2609326865220969
target_calcium_deficiency,Calcium Deficiency,0.7230430682175416,XGBoost,0.7594936708860759,0.03658671076549321,0.0,0.0,0.0,0.9957805907172996,0.4978902953586498,0.007275574374943972,7.038975075979517e-05,0.5953545570373535,0.23186662323157126
